"","Title","Author","Year","Abstract"
"11","Back to the future--the value of single protein species investigations.","Jungblut","2013","In proteomics, in the past years, there was a focus on high throughput and reaching of large numbers of identified proteins with the basic discourse of protein expression. To avoid the impression of producing pure lists attempts are usually made to correlate proteins changed in amount between two biological situations to different pathways or protein interactions. This discourse is based on two simplifications, which limit the applicability of proteomics drastically: (i) it is sufficient to quantify a protein from several enzymatic digestion products; (ii) a biological situation is sufficiently described, if a peptide with its PTM is identified, resulting in long lists of modified peptides with data amounts, which are not anymore made accessible for the reader of a publication. The elucidation of N-terminal methylation of proteasome subunit Rpt1 in yeast by Kimura et al. (Proteomics 2013, 13, 3167-3174), which represents the focus on one protein, shows the value of solid chemical analysis with a complete data documentation and paves the way to proteomics based on the protein speciation discourse."
"12","Analysis of protein species differentiation among mycobacterial low-Mr-secreted proteins by narrow pH range Immobiline gel 2-DE-MALDI-MS.","Lange, Rosenkrands, Stein, Andersen, Kaufmann, Jungblut","2014","Secreted proteins of bacteria are preferentially capable of interacting with host cells and are therefore of special biological and medical interest. Narrow pH range 2-DE and MALDI-TOFTOF-MS combine high-resolution protein separation with highly sensitive identification of proteins. Secreted proteins of Mycobacterium tuberculosis were separated at the protein species level, distinguishing different protein species of one protein. We focused on the pI range 4.0-4.7 and the Mr range 6-20kDa of the 2-DE pattern. Out of 128 analyzed spots, 121 were identified resulting in 33 different proteins with 277 different protein species, accumulating in a mean of 8.4 protein species per protein. Overrepresentation was found for the protein classes ""virulence, detoxification, adaption"", ""information pathways"", ""cell wall and cell processes"" and ""intermediary metabolism and respiration"". Thus far, 15 protein species of the ESX-1 family are characterized with 100% sequence coverage. More automated 2-DE procedures and more sensitive identification techniques are required for complete characterization of all of the protein species even in highly enriched samples, such as culture filtrates. Only then the functional level of proteomics will be achieved and potential biomarkers can be postulated at the molecular level."
"13","Dynein light chain 8a of Toxoplasma gondii, a unique conoid-localized β-strand-swapped homodimer, is required for an efficient parasite growth.","Qureshi, Hofmann, Arroyo-Olarte, Nickl, Hoehne, Jungblut, Lucius, Scheerer, Gupta","2013","Dynein light chain 8 (DLC8) is a ubiquitous eukaryotic protein regulating diverse cellular functions. We show that the obligate intracellular parasite Toxoplasma gondii harbors 4 DLC8 proteins (TgDLC8a-d), of which only TgDLC8a clusters in the mainstream LC8 class. TgDLC8b-d proteins form a divergent and alveolate-specific clade. TgDLC8b-d proteins are largely cytosolic, whereas TgDLC8a resides in the conoid at the apical end of T. gondii. The apical location of TgDLC8a is also not shared by its nearly identical Eimeria (EtDLC8a), Plasmodium (PfDLC8), or human (HsDLC8) orthologs. Notwithstanding an exclusive conoid targeting, TgDLC8a exhibits a classical LC8 structure. It forms a homodimer by swapping of the β strands that interact with the antiparallel β' strands of the opposing monomers. The TgDLC8a dimer contains two identical binding grooves and appears to be adapted for multitarget recognition. By contrast, the previously reported PfDLC8 homodimer is shaped by binding of the β strand with the parallel β' strand and lacks such a distinct binding interface. Our comparisons suggest an unexpected structural and functional divergence of the two otherwise conserved proteins from apicomplexan parasites. Finally, we demonstrate that a phosphomimetic S88E mutation renders the TgDLC8a-S88E mutant monomeric and cytosolic in T. gondii, and its overexpression inhibits the parasite growth in human fibroblasts."
"14","High resolution quantitative proteomics of HeLa cells protein species using stable isotope labeling with amino acids in cell culture(SILAC), two-dimensional gel electrophoresis(2DE) and nano-liquid chromatograpohy coupled to an LTQ-OrbitrapMass spectrometer.","Thiede, Koehler, Strozynski, Treumann, Stein, Zimny-Arndt, Schmid, Jungblut","2013","The proteomics field has shifted over recent years from two-dimensional gel electrophoresis (2-DE)-based approaches to SDS-PAGE or gel-free workflows because of the tremendous developments in isotopic labeling techniques, nano-liquid chromatography, and high-resolution mass spectrometry. However, 2-DE still offers the highest resolution in protein separation. Therefore, we combined stable isotope labeling with amino acids in cell culture of controls and apoptotic HeLa cells with 2-DE and the subsequent analysis of tryptic peptides via nano-liquid chromatography coupled to an LTQ-Orbitrap mass spectrometer to obtain quantitative data using the methods with the highest resolving power on all levels of the proteomics workflow. More than 1,200 proteins with more than 2,700 protein species were identified and quantified from 816 Coomassie Brilliant Blue G-250 stained 2-DE spots. About half of the proteins were identified and quantified only in single 2-DE spots. The majority of spots revealed one to five proteins; however, in one 2-DE spot, up to 23 proteins were identified. Only half of the 2-DE spots represented a dominant protein with more than 90% of the whole protein amount. Consequently, quantification based on staining intensities in 2-DE gels would in approximately half of the spots be imprecise, and minor components could not be quantified. These problems are circumvented by quantification using stable isotope labeling with amino acids in cell culture. Despite challenges, as shown in detail for lamin A/C and vimentin, the quantitative changes of protein species can be detected. The combination of 2-DE with high-resolution nano-liquid chromatography-mass spectrometry allowed us to identify proteomic changes in apoptotic cells that would be unobservable using any of the other previously employed proteomic workflows."
"15","Bioanalysis 2012.","Rizzi, Carrilho, Jungblut","2012",NA
"16","Distinct proteasome subpopulations in the alveolar space of patients with the acute respiratory distress syndrome.","Sixt, Alami, Hakenbeck, Adamzik, Kloss, Costabel, Jungblut, Dahlmann, Peters","2012","There is increasing evidence that proteasomes have a biological role in the extracellular alveolar space, but inflammation could change their composition. We tested whether immunoproteasome protein-containing subpopulations are present in the alveolar space of patients with lung inflammation evoking the acute respiratory distress syndrome (ARDS). Bronchoalveolar lavage (BAL) supernatants and cell pellet lysate from ARDS patients (n = 28) and healthy subjects (n = 10) were analyzed for the presence of immunoproteasome proteins (LMP2 and LMP7) and proteasome subtypes by western blot, chromatographic purification, and 2D-dimensional gelelectrophoresis. In all ARDS patients but not in healthy subjects LMP7 and LMP2 were observed in BAL supernatants. Proteasomes purified from pooled ARDS BAL supernatant showed an altered enzyme activity ratio. Chromatography revealed a distinct pattern with 7 proteasome subtype peaks in BAL supernatant of ARDS patients that differed from healthy subjects. Total proteasome concentration in BAL supernatant was increased in ARDS (971 ng/mL ± 1116 versus 59 ± 25; P < 0.001), and all fluorogenic substrates were hydrolyzed, albeit to a lesser extent, with inhibition by epoxomicin (P = 0.0001). Thus, we identified for the first time immunoproteasome proteins and a distinct proteasomal subtype pattern in the alveolar space of ARDS patients, presumably in response to inflammation."
"17","Dietary phytoestrogen supplementation induces sex differences in the myocardial protein pattern of mice: a comparative proteomics study.","Schwab, Neumann, Vignon-Zellweger, Fischer, Stein, Jungblut, Scheler, Theuring","2011","Elevated cardiovascular risk in postmenopausal women and beneficial actions of estrogen replacement in animal models have been related to protective effects of estrogens. However, randomized trials of hormone replacement therapy with synthetic estrogens in humans failed confirmation and phytoestrogens, natural plant hormones with agonistic properties for estrogen receptors, could represent potential alternatives. The aim of the present study is to characterize an animal model for alternative hormone replacement with genistein as a natural estrogenic compound. We performed a 2-DE/ESI-LC-MS approach in order to identify protein species varying with genistein receipt and sex in their relative abundance in the healthy murine heart (http://www.mpiib-berlin.mpg.de/2D-PAGE). Oral genistein treatment revealed a substantial effect on the relative abundance of both estrogen receptors. Several enzymes of the fatty acid metabolism and their transcriptional regulators varied differentially in male and in female animals, at the transcript and/or the protein species level. Increased levels of enzyme species involved in the oxidative phosphorylation and generation of ROS were accompanied by decreased amounts of antioxidants in male mice receiving genistein compared with control males, which have been previously associated with various pathological conditions. Exposure of female animals to genistein provoked an increased abundance of two species of LIM domain-binding protein and one species of desmin. These proteins have been associated with cardiac hypertrophy and our data warrant caution for the use of them as molecular markers, since the animals did not exhibit any histological signs of cardiac hypertrophy."
"18","Quantitative phosphoproteomics reveals link between Helicobacter pylori infection and RNA splicing modulation in host cells.","Holland, Schmid, Zimny-Arndt, Rohloff, Stein, Jungblut, Meyer","2011","The Gram-negative, spiral-shaped bacterium Helicobacter pylori is a common human pathogen that causes chronic inflammation of the human gastric mucosa, leading to peptic ulceration and/or gastric cancer. Here, we analyzed changes in the phosphoproteome of gastric epithelial cells (AGS) upon infection with H. pylori using a combination of SILAC, phosphoprotein enrichment, 2-DE, and MALDI TOF/TOF-MS. From a total of 526 spots we identified 391 protein species (143 proteins) and quantified 332 (127 proteins). Nearly, one-third of the identified proteins (40/143) were associated with the spliceosome or RNA splicing. The abundance of 20 proteins was altered by H. pylori infection, in particular, a number of serine arginine-rich (SR) proteins involved in the regulation and control of alternative splicing. Importantly, the combined methodologies enabled the detection of infection-dependent protein species-specific regulation, suggesting functional modulation of individual protein species. These findings reveal unexpected new insights into the mechanisms of host cell manipulation by H. pylori, which are likely associated with gastric pathologies, including gastric cancer."
"19","Special issue on protein species.","Schlüter, Jungblut","2011",NA
"20","Membrane-SPINE: an improved method to identify protein-protein interaction partners of membrane proteins in vivo.","Müller, Jungblut, Meyer, Hunke","2011","Membrane proteins are crucial for many essential cellular processes. As membrane proteins function in complexes, methods to detect and to characterize membrane protein-protein interactions are undoubtedly required. Therefore, we developed the ""Membrane-Strep-tagged protein interaction experiment"" (Membrane-SPINE) that combines the specific purification of a Strep-tagged membrane protein with the reversible fixation of protein complexes by formaldehyde cross-linking. In combination with MS analysis, we suggest Membrane-SPINE as a powerful tool to identify unknown interaction partners of membrane proteins in vivo."
"21","Towards the analysis of protein species: an overview about strategies and methods.","Jungblut, Schlüter","2011","The deciphering of the relationship between function and exact chemical composition of a defined protein species in the context of the proteome is one of the major challenges in proteomics and molecular cell physiology. In the Special Issue of Amino Acids about the analysis of protein species current approaches are reviewed and new methods described focusing on the investigation of protein species. On the basis of the articles in this Special Issue it can be summarized that first important and promising steps towards the comprehensive analysis of protein species have been done. It is already possible to obtain full (100%) sequence coverage of proteins by mass spectrometry, if the amount of proteins available for their analysis allows their proteolytic degradation by more than one protease and the subsequent mass spectrometric analysis of the resulting peptides. Employing affinity chromatography helps to analyse proteins with defined post-translational modifications thus opening a targeted view on e.g. the phosphoproteome. In the future the aim to identify the exact chemical composition including not one but every posttranslational modification and complete sequence coverage on the protein species level should be achievable with further progress in sample preparation techniques, especially concerning separation techniques on the protein level, mass spectrometry and algorithms for mass spectrometric data processing. For determining the function of defined protein species a closer cooperation between cell biologists and proteomics experts is desirable."
"22","Helicobacter pylori HP0518 affects flagellin glycosylation to alter bacterial motility.","Asakura, Churin, Bauer, Boettcher, Bartfeld, Hashii, Kawasaki, Mollenkopf, Jungblut, Brinkmann, Meyer","2010","Helicobacter pylori is a human gastric pathogen associated with gastric and duodenal ulcers as well as gastric cancer. Mounting evidence suggests this pathogen's motility is prerequisite for successful colonization of human gastric tissues. Here, we isolated an H. pylori G27 HP0518 mutant exhibiting altered motility in comparison to its parental strain. We show that the mutant's modulated motility is linked to increased levels of O-linked glycosylation on flagellin A (FlaA) protein. Recombinant HP0518 protein decreased glycosylation levels of H. pylori flagellin in vitro, indicating that HP0518 functions in deglycosylation of FlaA protein. Furthermore, mass spectrometric analysis revealed increased glycosylation of HP0518 FlaA was due to a change in pseudaminic acid (Pse) levels on FlaA; HP0518 mutant-derived flagellin contained approximately threefold more Pse than the parental strain. Further phenotypic and molecular characterization demonstrated that the hyper-motile HP0518 mutant exhibits superior colonization capabilities and subsequently triggers enhanced CagA phosphorylation and NF-κB activation in AGS cells. Our study shows that HP0518 is involved in the deglycosylation of flagellin, thereby regulating pathogen motility. These findings corroborate the prominent function of H. pylori flagella in pathogen-host cell interactions and modulation of host cell responses, likely influencing the pathogenesis process."
"23","Influence of RET/PTC1 and RET/PTC3 oncoproteins in radiation-induced papillary thyroid carcinomas on amounts of cytoskeletal protein species.","Zeindl-Eberhart, Liebmann, Jungblut, Mattow, Schmid, Kerler, Rabes","2011","Radiation-induced human papillary thyroid carcinomas (PTCs) show a high prevalence of fusions of the RET proto-oncogene to heterologous genes H4 (RET/PTC1) and ELE1 (RET/PTC3), respectively. In contrast to the normal membrane-bound RET protein, aberrant RET fusion proteins are constitutively active oncogenic cytosolic proteins that can lead to malignant transformation of thyroid epithelia. To detect specific tumor-associated protein changes that reflect the effect of RET/PTC fusion proteins, we analyzed normal thyroid tissues, thyroid tumors of the RET/PTC1 and RET/PTC3 type and their respective lymph node metastases by a combination of high-resolution two-dimensional electrophoresis and matrix-assisted laser desorption/ionization-mass spectrometry. PTCs without RET rearrangements served as controls. Several cytoskeletal protein species showed quantitative changes in tumors and lymph node metastases harboring RET/PTC1 or RET/PTC3. We observed prominent C-terminal actin fragments assumedly generated by protease cleavages induced due to enhanced amounts of the active actin-binding protein cofilin-1. In addition, three truncated vimentin species, one of which was proven to be headless, were shown to be highly abundant in tumors and metastases of both RET/PTC types. The observed protein changes are closely connected with the constitutive activation of RET-rearranged oncoproteins and reflect the importance to elucidate disease-related typical signatures on the protein species level."
"24","Proteomic identification of secreted proteins of Propionibacterium acnes.","Holland, Mak, Zimny-Arndt, Schmid, Meyer, Jungblut, Brüggemann","2010","The anaerobic Gram-positive bacterium Propionibacterium acnes is a human skin commensal that resides preferentially within sebaceous follicles; however, it also exhibits many traits of an opportunistic pathogen, playing roles in a variety of inflammatory diseases such as acne vulgaris. To date, the underlying disease-causing mechanisms remain ill-defined and knowledge of P. acnes virulence factors remains scarce. Here, we identified proteins secreted during anaerobic cultivation of a range of skin and clinical P. acnes isolates, spanning the four known phylogenetic groups."
"25","Adaptation of proteomic techniques for the identification and characterization of protein species from murine heart.","Schwab, Neumann, Scheler, Jungblut, Theuring","2011","Disturbed energy metabolism with impaired fatty acid oxidation, ATP synthesis and changing levels of contractile proteins has been observed during the development and manifestation of cardiovascular diseases, with the latter showing sexual differences in terms of onset, manifestation and progress. Estrogenic compounds, such as estrogens and phytoestrogens, are known to exert beneficial effects on several cardiovascular parameters. However, global studies implying the normal, non-failing myocardium are rare. Thus, identifying and characterizing protein patterns involved in the maintenance of normal heart physiology at the protein species level will help understanding disease conditions. In this study, we performed an adapted 2-DE/MS approach in order to identify and characterize post-translational modified and truncated protein species from murine heart. Female and male animals of different age were receiving the phytoestrogen genistein and comparative analyses were performed to identify sex and genistein treatment-related effects. Selected 2-DE spots that exposed varying abundance between animal groups and identified as identical proteins were subject to multi-protease cleavage to generate an elevated sequence coverage enabling characterization of post-translational modifications and truncation loci via high-resolution MS. Several truncated, phosphorylated and acetylated species were identified for mitochondrial ATP synthase, malate dehydrogenase and trifunctional enzyme subunit alpha. However, confirmation of several of these modifications by manual spectra interpretation failed. Thus, our results warrant caution for the blind trust in software output. For the regulatory light chain of myosin, we identified an N-terminal processed species, which so far has been related to ischemic conditions only. We tried to unravel the information content of protein species separated by high-resolution 2-DE as an alternative to high-throughput proteomics, which mainly is interested in lists of protein names, ignoring the protein species identity."
"26","Quantitative proteome analysis of the 20S proteasome of apoptotic Jurkat T cells.","Schmidt, Dahlmann, Hustoft, Koehler, Strozynski, Kloss, Zimny-Arndt, Jungblut, Thiede","2011","Regulated proteolysis plays important roles in cell biology and pathological conditions. A crosstalk exists between apoptosis and the ubiquitin-proteasome system, two pathways responsible for regulated proteolysis executed by different proteases. To investigate whether the apoptotic process also affects the 20S proteasome, we performed three independent SILAC-based quantitative proteome approaches: 1-DE/MALDI-MS, small 2-DE/MALDI-MS and large 2-DE/nano-LC-ESI-MS. Taking the results of all experiments together, no quantitative changes were observed for the α- and β-subunits of the 20S proteasome except for subunit α7. This protein was identified in two protein spots with a down-regulation of the more acidic protein species (α7a) and up-regulation of the more basic protein species (α7b) during apoptosis. The difference in these two α7 protein species could be attributed to oxidation of cysteine-41 to cysteine sulfonic acid and phosphorylation at serine-250 near the C terminus in α7a, whereas these modifications were missing in α7b. These results pointed to the biological significance of posttranslational modifications of proteasome subunit α7 after induction of apoptosis."
"27","Helicobacter pylori proteomics by 2-DE/MS, 1-DE-LC/MS and functional data mining.","Jungblut, Schiele, Zimny-Arndt, Ackermann, Schmid, Lange, Stein, Pleissner","2010","With its predicted proteome of 1550 proteins (data set Etalon) Helicobacter pylori 26695 represents a perfect model system of medium complexity for investigating basic questions in proteomics. We analyzed urea-solubilized proteins by 2-DE/MS (data set 2-DE) and by 1-DE-LC/MS (Supprot); proteins insoluble in 9 M urea but solubilized by SDS (Pellet); proteins precipitating in the Sephadex layer at the application side of IEF (Sephadex) by 1-DE-LC/MS; and proteins precipitating close to the application side within the IEF gel by LC/MS (Startline). The experimental proteomics data of H. pylori comprising 567 proteins (protein coverage: 36.6%) were stored in the Proteome Database System for Microbial Research (http://www.mpiib-berlin.mpg.de/2D-PAGE/), which gives access to raw mass spectra (MALDI-TOF/TOF) in T2D format, as well as to text files of peak lists. For data mining the protein mapping and comparison tool PROMPT (http://webclu.bio.wzw.tum.de/prompt/) was used. The percentage of proteins with transmembrane regions, relative to all proteins detected, was 0, 0.2, 0, 0.5, 3.8 and 6.3% for 2-DE, Supprot, Startline, Sephadex, Pellet, and Etalon, respectively. 2-DE does not separate membrane proteins because they are insoluble in 9 M urea/70 mM DTT and 2% CHAPS. SDS solubilizes a considerable portion of the urea-insoluble proteins and makes them accessible for separation by SDS-PAGE and LC. The 2-DE/MS analysis with urea-solubilized proteins and the 1-DE-LC/MS analysis with the urea-insoluble protein fraction (Pellet) are complementary procedures in the pursuit of a complete proteome analysis. Access to the PROMPT-generated diagrams in the Proteome Database allows the mining of experimental data with respect to other functional aspects."
